paper_id,claim,cause,effect,type_of_relationship,sign_of_impact,is_main_contribution,statistical_significance,causal_inference_method,sources_of_exogenous_variation,level_of_tentativeness,evidence_method_other_description,evidence
W1176011688,Mandatory Universal Drug Program -> Health Status of Less Healthy Individuals,Mandatory Universal Drug Program,Health Status of Less Healthy Individuals,direct effect,positive,True,p<0.01,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"We find that the impact on health is monotonically decreasing and is virtually zero from the median to the ninth decile. [...] It should be noted that the positive impact on HUI is 0.038 at the first decile, representing a clinically important improvement in health status. At the 20th and 30th percentiles, the policy effects are around 0.015 and 0.014 and still statistically significant. These results suggest that it is mainly less healthy individuals that experienced an improvement in health status, indicating that high value pharmaceutical drugs may be under-used among them."
W1176011688,Mandatory Universal Drug Program -> Medication Use of Previously Uninsured,Mandatory Universal Drug Program,Medication Use of Previously Uninsured,direct effect,positive,True,0.01<=p<0.05,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"In Panel B, the coefficients of the pre-policy insurance status interactions suggest that the positive effects on the probability of taking medications or visiting a GP are larger for the previously uninsured. [...] Analysis by pre-policy drug insurance status reveals that previously uninsured individuals experienced a large increase in the probability of taking any medication and visiting a general practitioner."
W1176011688,Mandatory Universal Drug Program -> General Practitioner Visits of Previously Uninsured,Mandatory Universal Drug Program,General Practitioner Visits of Previously Uninsured,direct effect,positive,True,0.01<=p<0.05,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"In Panel B, the coefficients of the pre-policy insurance status interactions suggest that the positive effects on the probability of taking medications or visiting a GP are larger for the previously uninsured. [...] Analysis by pre-policy drug insurance status reveals that previously uninsured individuals experienced a large increase in the probability of taking any medication and visiting a general practitioner."
W1176011688,Mandatory Universal Drug Program -> General Practitioner Visits of Chronically Ill,Mandatory Universal Drug Program,General Practitioner Visits of Chronically Ill,direct effect,positive,True,0.01<=p<0.05,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"Estimates for the likelihood of a GP visit are much larger among the chronically ill. [...] Subgroup analysis by presence of chronic condition reveals that the reform had a much large effect on the probability of GP visit for those with chronic conditions. [...] Further analysis by the presence of chronic conditions shows that, compared to those without any chronic condition, the chronically ill experienced a much larger increase in the extensive margins of medication and general practitioner utilization."
W1176011688,Mandatory Universal Drug Program -> Medication Use of Chronically Ill,Mandatory Universal Drug Program,Medication Use of Chronically Ill,direct effect,positive,False,p>0.1,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",tentative,NA,"In Panel A, the point estimates in the regression reveal that the chronically ill show a larger increase in medication use in the past month compared to those without any chronic condition but the difference is not statistically significant. [...] In Panel B, for the probability of medication use, the policy effect is larger for the chronically ill although not statistically significant. [...] Further analysis by the presence of chronic conditions shows that, compared to those without any chronic condition, the chronically ill experienced a much larger increase in the extensive margins of medication and general practitioner utilization."
W1176011688,Drug Insurance Coverage -> Medication Use,Drug Insurance Coverage,Medication Use,indirect effect,positive,True,p<0.01,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"If we assume that the policy only affected the reduced form outcomes through the expansion of drug insurance coverage, we can estimate the impact of drug insurance coverage on the outcomes. [...] Combining the results in Tables III and IV, a one percentage point increase in drug insurance coverage increased medication use in the past month by 0.6 (13/21) percent [...] For the extensive margin, a one percentage point increase in drug insurance coverage increased the probability of any medication use in the previous month by 0.10 (2.2/21) to 0.15 (3.2/21) percentage points in the population."
W1176011688,Drug Insurance Coverage -> General Practitioner Visits,Drug Insurance Coverage,General Practitioner Visits,indirect effect,positive,True,0.01<=p<0.05,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"If we assume that the policy only affected the reduced form outcomes through the expansion of drug insurance coverage, we can estimate the impact of drug insurance coverage on the outcomes. [...] Combining the results in Tables III and IV, a one percentage point increase in drug insurance coverage increased medication use in the past month by 0.6 (13/21) percent and annual GP visits by 0.5 (10/21) percent in the population."
W1176011688,Drug Insurance Coverage -> Health Status,Drug Insurance Coverage,Health Status,indirect effect,positive,True,0.01<=p<0.05,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"If we assume that the policy only affected the reduced form outcomes through the expansion of drug insurance coverage, we can estimate the impact of drug insurance coverage on the outcomes. [...] A one percentage point increase in drug insurance coverage increased HUI by 0.0003 in the population."
W1008891099,Paid Maternity Leave -> Low Birth Weight Births,Paid Maternity Leave,Low Birth Weight Births,direct effect,negative,True,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"I find that the availability of statewide paid maternity leave reduces the share of low birth weight births by 0.22 percentage points, or approximately 3.2 percent. [...] Overall, TDI paid maternity leave reduces low birth weight births by 0.22 percentage points, or 3.2 percent. [...] In California, for example, the policy reduces low birth weight births by 0.2 percentage points, which is a 3.2 percent decline from the sample mean. In New Jersey, the policy reduces low birth weight births by 4.0 percent from the sample mean."
W1008891099,Paid Maternity Leave -> Early Term Births,Paid Maternity Leave,Early Term Births,direct effect,negative,True,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"TDI decreases the likelihood of early term birth (37-38 weeks) by about 1.1 percentage points, or 6.6 percent from the sample mean. [...] Paid leave reduces the proportion of early term births by over 1 percentage point, or 6.6 percent."
W1008891099,Paid Maternity Leave -> Small for Gestational Age Births,Paid Maternity Leave,Small for Gestational Age Births,direct effect,negative,True,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"The result in column (6) suggests that TDI decreases the share of small for gestational age births by 0.024 percentage points, or 2.3 percent. [...] Panel B shows a similar effect on the share of births below the 20th percentile of the distribution, a 2.04 percent decline from the sample mean."
W1008891099,Paid Maternity Leave -> Low Birth Weight Births (Black Mothers),Paid Maternity Leave,Low Birth Weight Births (Black Mothers),direct effect,negative,True,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"The overall results in column (6) of Table 4 suggest that TDI paid maternity leave reduces the share of low birth weight births by 4.9 percent for black women, 2.2 percent for white women, 6.5 percent for unmarried women, and 3.5 percent for married women. [...] Paid maternity leave has particularly large impacts on the children of unmarried and black mothers."
W1008891099,Paid Maternity Leave -> Low Birth Weight Births (Unmarried Mothers),Paid Maternity Leave,Low Birth Weight Births (Unmarried Mothers),direct effect,negative,True,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"The overall results in column (6) of Table 4 suggest that TDI paid maternity leave reduces the share of low birth weight births by 4.9 percent for black women, 2.2 percent for white women, 6.5 percent for unmarried women, and 3.5 percent for married women. [...] The results show that access to paid leave reduces the percentage of low birth weight births in a state and that this effect is strongest for unmarried mothers, who are more likely to be employed and thus benefit from TDI."
W1008891099,Paid Maternity Leave -> Mean Birth Weight,Paid Maternity Leave,Mean Birth Weight,direct effect,positive,False,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"There are no significant shifts in the distribution above the 50th percentile, but the mean birth weight increases by 5.6 grams."
W1008891099,Paid Maternity Leave -> Births Below 10th Percentile of Birth Weight Distribution,Paid Maternity Leave,Births Below 10th Percentile of Birth Weight Distribution,direct effect,negative,False,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"TDI maternity leave decreases the share of births below the 10th percentile of the birth weight distribution by 2.6 percent, the share of births below the 20th percentile by 1.9 percent, and the share of births below the 30th percentile by 0.7 percent."
W1008891099,Paid Maternity Leave -> Infant Mortality Rate (Black Infants),Paid Maternity Leave,Infant Mortality Rate (Black Infants),direct effect,negative,False,0.01<=p<0.05,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,tentative,NA,"Columns (2) through (5) present the results by high- and low-employment counties and by infant race. There are small but statistically significant effects only among high-employment counties and black infants. These effects correspond to 1.5 and 3.3 percent declines from the sample means, respectively."
W1008891099,Paid Maternity Leave -> Antenatal Leave Taking,Paid Maternity Leave,Antenatal Leave Taking,direct effect,positive,False,NA,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,tentative,NA,"Compared to working women in non-TDI states, those with access to TDI were 30 percent more likely to stop working one month before birth and 26 percent less likely to not stop working at all before birth. [...] Data from the Survey of Income and Program Participation (SIPP) indicate that almost 70 percent of women in TDI states who take paid postnatal maternity leave also take time off before birth during this period. Therefore, it is plausible that the policy affects birth outcomes."
W1008891099,Paid Maternity Leave -> Maternal Employment Post-Birth,Paid Maternity Leave,Maternal Employment Post-Birth,direct effect,positive,False,0.01<=p<0.05,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,tentative,NA,"Interestingly, mothers are more likely to report being employed, although the result is only statistically significant in California. These results suggest that mothers are not just substituting unpaid leave or paid leave, but are instead taking more time off."
W1008891099,Paid Maternity Leave -> Paid Leave Taking Post-Birth,Paid Maternity Leave,Paid Leave Taking Post-Birth,direct effect,positive,False,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,tentative,NA,"As expected, new mothers with access to TDI paid maternity leave are 25.5 percent more likely to be absent from work and 34.1 percent more likely to report being on paid leave."
W1008891099,Female Labor Force Participation Rate -> Effect of Paid Maternity Leave on Low Birth Weight,Female Labor Force Participation Rate,Effect of Paid Maternity Leave on Low Birth Weight,confounding,positive,False,p<0.01,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,tentative,NA,"The effect of TDI maternity leave on the low birth weight rate is larger in counties with higher female labor force participation and employment rates than in counties with lower rates. If the results in Table 3 were due to something other than increased access to leave, there would be no reason to expect to see larger effects in higher-employment areas."
W1008891099,Paid Maternity Leave -> Premature Births,Paid Maternity Leave,Premature Births,direct effect,null_effect,False,p>0.1,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"Finally, Panel C shows the effect of TDI on the share of premature births (less than 37 weeks). There are small, weakly significant effects in California and New York, but overall the results suggest that the effects on gestational age are driven by relatively short delays in births. As expected, TDI does not prevent severely premature births."
W1008891099,Paid Maternity Leave -> Very Low Birth Weight Births,Paid Maternity Leave,Very Low Birth Weight Births,direct effect,null_effect,False,p>0.1,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,"TDI does not affect the share of very low birth weight births (less than 1500 grams) either. As very low birth weight births are likely to be more than four weeks premature or suffer from other complications, one should not expect TDI maternity leave to affect this group."
W1008891099,Paid Maternity Leave -> Infant Mortality Rate (Overall),Paid Maternity Leave,Infant Mortality Rate (Overall),direct effect,null_effect,False,p>0.1,DID,Pregnancy Discrimination Act of 1978 requiring states with Temporary Disability Insurance programs to provide maternity leave benefits to pregnant workers,certain,NA,Column (1) of Table 10 shows that TDI paid maternity leave does not have a significant effect on the infant mortality rate overall. [...] The lack of an overall effect on infant mortality makes sense given the margin through which the policy affects birth outcomes.
W1023527675,Attributional Uncertainty -> Feedback Leniency,Attributional Uncertainty,Feedback Leniency,direct effect,positive,True,p<0.01,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"Our data support the hypothesis that when attribution is uncertain, buyers tend to give sellers the benefit of the doubt when receiving less than advertised, either by leaving lenient ratings or by choosing not to rate at all. [...] Buyers give more lenient feedback to sellers when what is received is less than announced and responsibility is unclear. In particular, if the received shortfall is less than 20% below what was announced, we observe leniency. [...] For the Shortfill categories, however, buyers tend to leave higher ratings in the Uncertainty treatment compared with the Baseline treatment, an average of 3.0 versus 2.5."
W1023527675,Attributional Uncertainty -> Feedback Silence Rate,Attributional Uncertainty,Feedback Silence Rate,direct effect,positive,True,0.01<=p<0.05,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"The overall rate of feedback giving in Baseline and Uncertainty treatments is 68% and 57%, respectively. [...] By contrast, buyers who receive more (Overfill) or less than promised (Shortfill and Vshortfill) remain silent more often in the Uncertainty treatment. Hence, positive and negative surprises are reported less frequently. [...] The second part of Hypothesis 1 is also confirmed. Silence is more frequent in the Uncertainty treatment in the case of Shortfill than in the case of Fulfill."
W1023527675,Feedback Leniency -> Feedback Score Informativeness,Feedback Leniency,Feedback Score Informativeness,direct effect,negative,True,0.05<=p<0.1,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"Hypothesis 2. In the Uncertainty treatment, feedback informativeness will be lower as a result of compression in ratings. [...] Observe that the expected probability of meeting an honest seller is lower for all feedback scores when there is uncertainty about seller responsibility. In particular, the predicted probability of meeting an honest seller is much lower—and noisier—for high feedback scores in the Uncertainty treatment. For example, a feedback score of 4 implies an 87% chance (confidence interval of 81%-94%) of receiving at least as much as announced in the Baseline treatment, but it declines to a 59% chance (44%-77%) in the Uncertainty treatment. [...] The area under the ROC curve in the probit regression for the Baseline (Uncertainty) treatment is 0.85 (0.803). The hypothesis that these areas are equal can be weakly rejected; p = 0.066. Similarly, the Brier score is lower in the Baseline model compared with the Uncertainty treatment (0.133 versus 0.173). So predictions from feedback in the uncertainty system are less able to differentiate honest sellers from opportunistic sellers, which is evidence for Hypothesis 2."
W1023527675,Attributional Uncertainty -> Seller Shipped Quality,Attributional Uncertainty,Seller Shipped Quality,direct effect,negative,True,p<0.01,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"Third, average shipped quality is lower in the Uncertainty treatment. Excluding the last 10 periods, shipped quality averages about 76% in the Baseline treatment but only 67% in the Uncertainty treatment. [...] The share of trades in which sellers ship at least as much as they announce is about twice as large in the Baseline treatment: 70.2% versus 34.2%. [...] In 61.2% of all Baseline auctions, the shipped quality is equal to the announced quality, whereas this is only the case in 22.3% in the Uncertainty treatment; this difference is significant. [...] Overall, our evidence is in line with the seller part of Hypothesis 3: in the Uncertainty treatment, sellers strategically ship lower quality to increase their own profits at the expense of buyers."
W1023527675,Attributional Uncertainty -> Market Efficiency,Attributional Uncertainty,Market Efficiency,direct effect,negative,True,0.01<=p<0.05,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"Descriptive statistics in Table 10 show that efficiency, measured as the ratio of realized to maximum possible surplus, decreases significantly from 68% to 55% in the Uncertainty treatment. [...] Efficiency also decreases significantly in a random effects Tobit regression (cf. Table 11), where the announced quality and period are controlled for."
W1023527675,Attributional Uncertainty -> Buyer Profit,Attributional Uncertainty,Buyer Profit,direct effect,negative,True,0.01<=p<0.05,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"Comparing the two treatments, buyer profits significantly decrease by 35% from 49 ECUs in the Baseline treatment to 32 ECUs in the Uncertainty treatment (cf. Table 10). [...] Both effects are also confirmed by the random effect Tobit regressions in Table 11. [...] As a result, buyers pay most of the cost of seller malfeasance in the Uncertainty treatment."
W1023527675,Attributional Uncertainty -> Transaction Price,Attributional Uncertainty,Transaction Price,direct effect,null_effect,True,p>0.1,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"Buyers, however, bid and pay about the same prices in the Baseline and Uncertainty treatments. [...] Consistent with this, we observe that prices are similar across treatments. On average, the final price is 128 ECUs in the Baseline treatment and 123 ECUs in the Uncertainty treatment. [...] Panel Tobit regressions show that the seller's feedback score and the announced quality have a significant positive effect on the final price (see Model 1 in Table 3 in Online Appendix A) but do not indicate a treatment difference. Again, interaction effects in Models 2 and 3 with Uncertainty are not significant and thus do not suggest that feedback score or announcement are interpreted differently across treatments, contrary to the buyer part of Hypothesis 3."
W1023527675,Attributional Uncertainty -> Seller Honesty Premium,Attributional Uncertainty,Seller Honesty Premium,direct effect,negative,True,p<0.01,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"Looking at the marginal effects in Model 2, average profits of a previously deceiving seller in the Baseline treatment are 38 ECUs, whereas a previously honest seller in the same treatment earns 50.5 ECUs. This is a significant increase of more than 30%. By contrast, this honesty premium is not present in the Uncertainty treatment: earnings nonsignificantly decrease by 2.7% from 47.3 to 46 ECUs. Overall, these results indicate that uncertainty about seller responsibility hampers the functioning of the feedback system and removes incentives for truthful seller behavior."
W1023527675,Attributional Uncertainty -> Seller Responsiveness to Negative Feedback,Attributional Uncertainty,Seller Responsiveness to Negative Feedback,direct effect,negative,False,0.01<=p<0.05,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"Furthermore, the interaction effect in Model 2 between the treatment dummy and the decrease in feedback score shows that the disciplining effect of bad feedback ratings is significantly lower in the Uncertainty treatment. The marginal effect of a change in a seller's feedback score in the Baseline treatment is -0.118 (p ≤ 0.001) and -0.023 (p = 0.224) in the Uncertainty treatment. This means that sellers react less to bad feedback in the Uncertainty treatment. A possible explanation could be that they expect that an unlucky draw of the distortion factor also provides an excuse for a low(er) feedback score so that buyers give the benefit of the doubt and assume sellers to be trustworthy despite a negative signal."
W1023527675,Attributional Uncertainty -> Buyer Overexpectation,Attributional Uncertainty,Buyer Overexpectation,direct effect,positive,False,0.01<=p<0.05,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"In the Uncertainty treatment, 34% of subjects expected more than they received (% Overexpectation), which is significantly higher than the 21% of subjects in the Baseline treatment. Hence, buyers do not make worse predictions in general in the Uncertainty treatment, but their expectations are too high more often. That is, relative to the Baseline treatment, buyers in the Uncertainty treatment do not fully adjust to the diminished informativeness of the feedback system, even though they experience a higher degree of disappointment as measured by the % Overexpectation variable."
W1023527675,Feedback Leniency -> Feedback Score Inflation,Feedback Leniency,Feedback Score Inflation,direct effect,positive,True,NA,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments); counterfactual prediction using Baseline regression models applied to Uncertainty treatment data,certain,NA,"Compared with the actual data, the distribution of the predicted feedback scores is shifted to the left, implying that actual aggregated feedback scores in the Uncertainty treatment are inflated relative to the Baseline feedback scores. [...] In summary, when using feedback giving in the Baseline treatment as a benchmark, seller feedback scores in the Uncertainty treatment appear inflated. Because of the differences in feedback giving across our treatments, sellers who do not deserve a certain feedback score are now bunched with sellers who do."
W1023527675,Attributional Uncertainty -> Buyer Share of Total Profit,Attributional Uncertainty,Buyer Share of Total Profit,direct effect,negative,False,0.01<=p<0.05,RCT,Random assignment to Baseline (no shock) versus Uncertainty treatment (random normal shock with mean 0 and SD 10 applied to 50% of shipments),certain,NA,"In the Baseline treatment, sellers and buyers on average receive almost identical shares of the total profit, but the marketplace with uncertainty significantly disadvantages buyers because their share significantly decreases to 42%. Both effects are also confirmed by the random effect Tobit regressions in Table 11."
W1168380530,Maternal Secondary Education -> Child Mortality,Maternal Secondary Education,Child Mortality,direct effect,negative,True,p<0.01,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"One extra year of maternal education was associated with a 1.7 percentage point decrease in the probability that a child was reported to have died prior to the survey. Given that on average 7.9% of the children in our sample were reported to have died at the time of the survey, the decrease in child mortality from one year of education represents an approximately 21.5% decrease in child deaths. [...] children born to mothers who attended some secondary schooling are 12 percentage points less likely to die, and an additional year of schooling decreases the probability of a child dying by about 21%."
W1168380530,Maternal Secondary Education -> Age at First Cohabitation,Maternal Secondary Education,Age at First Cohabitation,direct effect,positive,False,0.01<=p<0.05,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"We find that increased secondary schooling delays age at first cohabitation, perhaps consequently age at first intercourse and also the age at first birth; an additional year of schooling delays entry into cohabitation by 0.5 years, off a base of 19 years."
W1168380530,Maternal Secondary Education -> Age at First Sexual Intercourse,Maternal Secondary Education,Age at First Sexual Intercourse,direct effect,positive,False,p<0.01,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"We find that increased secondary schooling delays age at first cohabitation, perhaps consequently age at first intercourse and also the age at first birth [...] Table 6 shows Years of education coefficient on Age at first sexual intercourse is 0.643*** (0.228)."
W1168380530,Maternal Secondary Education -> Age at First Birth,Maternal Secondary Education,Age at First Birth,direct effect,positive,False,0.01<=p<0.05,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"The delay in terms of having the first child is smaller at around 0.3 years, but it is perhaps mediated by the fact that more schooling reduces the time between marriage and first child. [...] Table 6 shows Years of education coefficient on Age at first birth is 0.339** (0.123)."
W1168380530,Maternal Secondary Education -> Probability of First Birth by Age 16,Maternal Secondary Education,Probability of First Birth by Age 16,direct effect,negative,False,0.05<=p<0.1,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"As presented in Table 6 (bottom panel), we see that the policy was associated with a lower probability of giving birth by age 16 but not age 20, which suggests that the increase in age at birth was concentrated among girls in their late teenage years. [...] Table 6 shows Years of education coefficient on First birth by age 16 is -0.023* (0.013)."
W1168380530,Maternal Secondary Education -> Ideal Number of Children Preferred,Maternal Secondary Education,Ideal Number of Children Preferred,direct effect,negative,False,0.01<=p<0.05,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"Desired fertility, on the other hand, does seem to be strongly affected by schooling. Women with more schooling desire fewer children and, as Table 6 suggests, 0.22 children less off a base of 4.5 children. This result is robust to polynomial trends on either side of the discontinuity, and importantly, as can be seen from Fig. 3, there appears to be a real trend break around the discontinuity in the number of children desired. [...] Table 6 shows Years of education coefficient on Ideal number of kids preferred is -0.224** (0.068)."
W1168380530,Maternal Secondary Education -> Household Asset Ownership,Maternal Secondary Education,Household Asset Ownership,direct effect,positive,False,p>0.1,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),tentative,NA,"In the lower half of Table 7, we examine economic outcomes of the mother and find that asset ownership, urban location, and probability of working are higher for the more educated. [...] Table 7 shows Years of education coefficient on Assets is 0.069 (0.053)."
W1168380530,Maternal Secondary Education -> Probability of Working,Maternal Secondary Education,Probability of Working,direct effect,positive,False,0.05<=p<0.1,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),tentative,NA,"In the lower half of Table 7, we examine economic outcomes of the mother and find that asset ownership, urban location, and probability of working are higher for the more educated. [...] Table 7 shows Years of education coefficient on Respondent working is 0.030* (0.017)."
W1168380530,Maternal Secondary Education -> Probability of Being in Lowest Wealth Quintile,Maternal Secondary Education,Probability of Being in Lowest Wealth Quintile,direct effect,negative,False,0.01<=p<0.05,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),tentative,NA,"We also define two dummy variables: one for being in the lowest wealth quintile and another for being in the highest wealth quintile. We find that more education is associated with a lower probability of being in the lowest wealth quintile, which is likely related to the changes in the probability of having electricity and living in a rural area. [...] Table 7 shows Years of education coefficient on Low wealth index dummy is -0.035** (0.018)."
W1168380530,Maternal Secondary Education -> Probability of Having Electricity,Maternal Secondary Education,Probability of Having Electricity,direct effect,positive,False,0.01<=p<0.05,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"Table 7 shows Years of education coefficient on Has electricity is 0.034** (0.015). [...] We find that more education is associated with a lower probability of being in the lowest wealth quintile, which is likely related to the changes in the probability of having electricity and living in a rural area."
W1168380530,Maternal Secondary Education -> Probability of Cesarean Section,Maternal Secondary Education,Probability of Cesarean Section,direct effect,positive,False,p<0.01,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"In Table 8, maternal education appears to have no statistically significant effect on institutional deliveries (which is surprising given the apparent jump visible in Fig. 6), but it has a large and statistically significant effect on delivery via cesarean section. The cesarean section rate in our sample is relatively low, but the magnitude of the result suggests that an extra year of education increases the likelihood of a cesarean section by nearly 85%. [...] Table 8 shows Years of education coefficient on C-Section is 0.053*** (0.011)."
W1168380530,Maternal Secondary Education -> Institutional Delivery,Maternal Secondary Education,Institutional Delivery,direct effect,null_effect,False,p>0.1,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"In Table 8, maternal education appears to have no statistically significant effect on institutional deliveries (which is surprising given the apparent jump visible in Fig. 6). [...] Table 8 shows Years of education coefficient on Institutional delivery is 0.022 (0.014)."
W1168380530,Maternal Secondary Education -> Antenatal Care,Maternal Secondary Education,Antenatal Care,direct effect,null_effect,False,p>0.1,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"Interestingly, maternal education seems to have no effect on preventive health care acts such as antenatal care and full immunizations, although these rates are high in the full sample. [...] Table 8 shows Years of education coefficient on Received antenatal care is 0.004 (0.007)."
W1168380530,Maternal Secondary Education -> Full Immunization,Maternal Secondary Education,Full Immunization,direct effect,null_effect,False,p>0.1,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"Interestingly, maternal education seems to have no effect on preventive health care acts such as antenatal care and full immunizations, although these rates are high in the full sample. [...] Table 8 shows Years of education coefficient on Fully immunized is -0.007 (0.006)."
W1168380530,Maternal Secondary Education -> Female Empowerment,Maternal Secondary Education,Female Empowerment,direct effect,null_effect,False,p>0.1,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"We then examine outcomes such as female empowerment (see Section 2 and Appendix A on how this variable is created), opinions on domestic violence and risky behavior (smoking) in Table 7, and we find very little evidence that schooling plays an important role in affecting these outcomes. [...] Table 7 shows Years of education coefficient on Empowerment index is -0.002 (0.005)."
W1168380530,Maternal Secondary Education -> Attitudes Toward Domestic Violence,Maternal Secondary Education,Attitudes Toward Domestic Violence,direct effect,null_effect,False,p>0.1,IV,Age-specific exposure to Zimbabwe's 1980 secondary school expansion reforms (being 13 years of age or younger in 1980),certain,NA,"We then examine outcomes such as female empowerment (see Section 2 and Appendix A on how this variable is created), opinions on domestic violence and risky behavior (smoking) in Table 7, and we find very little evidence that schooling plays an important role in affecting these outcomes. [...] Table 7 shows Years of education coefficient on Domestic violence index is 0.001 (0.013)."
